portfolio_size,run,std_dev,mean_return
26,4,0.12221560184609771,1.0514165574821235
27,4,0.12168807939032754,1.0527672752733885
28,4,0.12310925201670285,1.0496053988807863
29,4,0.12208368633999919,1.0483188262238126
30,4,0.12018802018279671,1.0476247250740125
31,4,0.12041163636175477,1.0447094469359137
32,4,0.12247608398560068,1.0457913909193337
33,4,0.12283647831008805,1.0456583865871818
34,4,0.12342035434839319,1.0467958105519417
35,4,0.1255171881624209,1.0500560966018022
36,4,0.12508010112076504,1.0498469320491461
37,4,0.12351331226659203,1.0501624343477884
38,4,0.12369451004147716,1.048630011853524
39,4,0.12316868414575677,1.0490339082578823
40,4,0.12363683910613628,1.0481337972449758
1,5,0.10250601453940399,1.0157017119410237
2,5,0.11289431180123824,1.0495147226193138
3,5,0.10504645955365423,1.0565543269862443
4,5,0.11760358378892308,1.0586010425903332
5,5,0.1075348894987482,1.0556723901204665
6,5,0.1182554420257094,1.0576329293709983
7,5,0.14280740371804723,1.0597629779094317
8,5,0.1396088868993236,1.0552450184810802
9,5,0.14700512496980725,1.058808787540967
10,5,0.14676224043756694,1.0610703457972215
11,5,0.1372360480298696,1.0571508061395578
12,5,0.13903237349604522,1.0582168616899919
13,5,0.13669771193316435,1.0574220063625681
14,5,0.1371812376963025,1.0547833481656055
15,5,0.13783581326253905,1.05299100979283
16,5,0.13608040386889644,1.0491828283800533
17,5,0.13204374250485768,1.0518598995117912
18,5,0.1335579166412766,1.0527709532551743
19,5,0.13743700470894357,1.0546426783918799
20,5,0.13526115449599113,1.0495832366151179
21,5,0.1318496335893813,1.0484332832334384
22,5,0.1314656069076786,1.049373575714938
23,5,0.1299447126754019,1.049844612848792
24,5,0.127158052913573,1.0486053711971899
25,5,0.12614300727303038,1.0496481742054196
26,5,0.12845159044336885,1.0497531425043352
27,5,0.1250709534480187,1.0492051423060789
28,5,0.12802666543044885,1.0508121168703248
29,5,0.12896974389895408,1.0497684293443013
30,5,0.13012477355096588,1.0511609477666302
31,5,0.1299899216820186,1.052123074704211
32,5,0.13055844975930456,1.0510211613819926
33,5,0.13138117962007698,1.0527871834187512
34,5,0.13257440595889022,1.0542751045964298
35,5,0.13174606096612781,1.0535179379291608
36,5,0.12995989809548836,1.0523341325247277
37,5,0.1291982123234416,1.051663520911764
38,5,0.12928695044214478,1.0518608160567873
39,5,0.12911272506889146,1.052070324362901
40,5,0.12748049093826674,1.0516775192959873
1,6,0.258286944135703,1.0651910740076376
2,6,0.20721844873238154,1.0968892406197062
3,6,0.166318169954697,1.0552671732997183
4,6,0.1569248264594226,1.0519870161031275
5,6,0.14519565098857606,1.0449827812346901
6,6,0.13480091920910633,1.0404452341156258
7,6,0.14639444202864713,1.0481625494491473
